CCSR for ICD-10-CM Body System,3-Character Abbreviation
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,BLD
Diseases of the circulatory system,CIR
Dental diseases,DEN
Diseases of the digestive system,DIG
Diseases of the ear and mastoid process,EAR
"Endocrine, nutritional and metabolic diseases",END
External causes of morbidity,EXT
Diseases of the eye and adnexa,EYE
Factors influencing health status and contact with health services,FAC
Diseases of the genitourinary system,GEN
Certain infectious and parasitic diseases,INF
"Injury, poisoning and certain other consequences of external causes",INJ
"Congenital malformations, deformations and chromosomal abnormalities",MAL
"Mental, behavioral and neurodevelopmental disorders",MBD
Diseases of the musculoskeletal system and connective tissue,MUS
Neoplasms,NEO
Diseases of the nervous system,NVS
Certain conditions originating in the perinatal period,PNL
"Pregnancy, childbirth and the puerperium",PRG
Diseases of the respiratory system,RSP
Diseases of the skin and subcutaneous tissue,SKN
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",SYM
Unacceptable principal diagnosis (inpatient data) or first-listed diagnosis (outpatient data),XXX
End of Content,
